timestamp,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz
1.6666666667,-26.345955,131.900543,-45.286022,79.287025,-16.191048,-1.870427
1.6833333333,-26.345715,131.900604,-45.284840,79.302757,-16.190533,-1.872499
1.7000000000,-26.345528,131.900650,-45.283901,79.311081,-16.189981,-1.873755
1.7166666667,-26.345394,131.900696,-45.283127,79.312744,-16.189402,-1.874858
1.7333333333,-26.345318,131.900726,-45.282448,79.312263,-16.188812,-1.875845
1.7500000000,-26.345301,131.900772,-45.281799,79.304970,-16.188223,-1.876751
1.7666666667,-26.345358,131.900787,-45.281094,79.302719,-16.187645,-1.877612
1.7833333333,-26.345490,131.900833,-45.280273,79.301323,-16.187094,-1.878464
1.8000000000,-26.345688,131.900848,-45.279259,79.300293,-16.186584,-1.879342
1.8166666667,-26.345947,131.900864,-45.277870,79.299492,-16.186123,-1.880283
1.8333333333,-26.346266,131.900864,-45.275711,79.298729,-16.185730,-1.882555
1.8500000000,-26.346628,131.900894,-45.273254,79.299316,-16.191736,-1.885473
1.8666666667,-26.347034,131.900894,-45.271080,79.304489,-16.199667,-1.888495
1.8833333333,-26.347473,131.900909,-45.269573,79.309814,-16.205961,-1.892240
1.9000000000,-26.347939,131.900925,-45.268166,79.320381,-16.207380,-1.897131
1.9166666667,-26.348425,131.900925,-45.266788,79.334213,-16.208414,-1.899277
1.9333333333,-26.348925,131.900909,-45.265511,79.345261,-16.209150,-1.900924
1.9500000000,-26.349432,131.900894,-45.264412,79.347755,-16.209671,-1.902430
1.9666666667,-26.349937,131.900894,-45.263554,79.349091,-16.210062,-1.903738
1.9833333333,-26.350435,131.900879,-45.263008,79.349876,-16.210411,-1.904788
2.0000000000,-26.350920,131.900864,-45.262840,79.350197,-16.210800,-1.905523
2.0166666667,-26.351383,131.900848,-45.268230,79.350166,-16.211311,-1.905883
2.0333333333,-26.351818,131.900833,-45.279835,79.345215,-16.204435,-1.904682
2.0500000000,-26.352219,131.900803,-45.280750,79.335884,-16.198751,-1.898888
2.0666666667,-26.352577,131.900772,-45.281559,79.326263,-16.194664,-1.888404
2.0833333333,-26.352888,131.900757,-45.282276,79.313911,-16.193298,-1.882517
2.1000000000,-26.353142,131.900742,-45.282898,79.296867,-16.192270,-1.880047
2.1166666667,-26.353334,131.900696,-45.283432,79.292099,-16.191362,-1.878472
2.1333333333,-26.353456,131.900665,-45.283882,79.291039,-16.190559,-1.877167
2.1500000000,-26.352152,131.900452,-45.284256,79.290192,-16.189842,-1.876067
2.1666666667,-26.346287,131.899521,-45.284554,79.289520,-16.189186,-1.875107
2.1833333333,-26.341742,131.898392,-45.284786,79.288994,-16.188580,-1.874221
2.2000000000,-26.337322,131.897675,-45.284958,79.288551,-16.187996,-1.875982
2.2166666667,-26.333410,131.897858,-45.285072,79.288162,-16.187420,-1.884830
2.2333333333,-26.330175,131.898361,-45.285133,79.287781,-16.186832,-1.891900
2.2500000000,-26.328266,131.899048,-45.285145,79.287384,-16.186211,-1.903255
2.2666666667,-26.326612,131.899918,-45.285095,79.288551,-16.187122,-1.906075
2.2833333333,-26.325132,131.901001,-45.279888,79.296707,-16.192507,-1.908218
2.3000000000,-26.323898,131.902344,-45.274155,79.308434,-16.199020,-1.913432
2.3166666667,-26.322979,131.903961,-45.268524,79.326942,-16.207907,-1.924267
2.3333333333,-26.322449,131.908844,-45.262985,79.345299,-16.218437,-1.931724
2.3500000000,-26.322325,131.913986,-45.257965,79.362053,-16.225815,-1.932952
2.3666666667,-26.322330,131.915390,-45.251225,79.379257,-16.227304,-1.934052
2.3833333333,-26.322409,131.916367,-45.243435,79.397171,-16.228409,-1.935125
2.4000000000,-26.322552,131.917007,-45.237610,79.412163,-16.229225,-1.936272
2.4166666667,-26.322758,131.917603,-45.236374,79.425003,-16.229855,-1.937595
2.4333333333,-26.323013,131.918228,-45.235355,79.427811,-16.230396,-1.939194
2.4500000000,-26.323313,131.918839,-45.234516,79.429436,-16.230947,-1.941978
2.4666666667,-26.323650,131.919449,-45.233822,79.430916,-16.222492,-1.946034
2.4833333333,-26.324018,131.920074,-45.233231,79.432648,-16.220516,-1.948428
2.5000000000,-26.324409,131.920685,-45.232716,79.434334,-16.219460,-1.949774
2.5166666667,-26.324818,131.921310,-45.232227,79.435944,-16.218586,-1.950931
2.5333333333,-26.325233,131.921936,-45.231735,79.437439,-16.217854,-1.951940
2.5500000000,-26.325649,131.922562,-45.231197,79.430885,-16.217230,-1.952844
2.5666666667,-26.326061,131.923172,-45.230587,79.420425,-16.216684,-1.953683
2.5833333333,-26.326460,131.923798,-45.235477,79.406952,-16.216179,-1.954499
2.6000000000,-26.326839,131.924408,-45.239998,79.391891,-16.215679,-1.955334
2.6166666667,-26.327190,131.925034,-45.239998,79.379089,-16.215151,-1.956229
2.6333333333,-26.327509,131.925323,-45.239998,79.366119,-16.214563,-1.956676
2.6500000000,-26.327526,131.925323,-45.239998,79.364822,-16.214123,-1.956676
