head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_1_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-22.908146,160.406769,-5.992051,10.999268,85.748383,-13.070684,-44.090092,78.18766,-13.322861,-19.394697,103.008858,-6.414723,1.7476,63.000923,-25.488159,-20.213951,9.816861,0.773574
-22.908722,160.301453,-6.064837,10.999071,85.788414,-13.081102,-44.043465,78.099602,-13.372697,-19.385582,103.088547,-6.402843,1.814301,63.282951,-25.843861,-20.183598,9.817087,0.760689
-22.89856,160.189209,-6.128967,11.025629,85.799309,-13.073379,-44.002407,78.015686,-13.44459,-19.3547,103.093391,-6.387353,1.840289,63.51152,-26.184402,-20.137407,9.802994,0.738505
-22.881622,160.070877,-6.198363,11.06693,85.766777,-13.02607,-43.960514,77.917671,-13.500776,-19.291521,103.115013,-6.386642,1.877585,63.706017,-26.395151,-20.048132,9.770214,0.721596
-22.868345,159.95256,-6.252879,11.116663,85.702713,-12.954092,-43.923866,77.806549,-13.555875,-19.258722,103.091675,-6.379437,1.854987,63.844055,-26.561031,-19.991781,9.736127,0.693683
-22.861572,159.848251,-6.313292,11.164076,85.591705,-12.850338,-43.89336,77.718895,-13.614158,-19.167,103.051857,-6.390134,1.861315,63.917042,-26.616854,-19.933773,9.724216,0.675236
-22.826521,159.754639,-6.353962,11.227975,85.445122,-12.717724,-43.871624,77.665123,-13.694955,-19.071472,103.04705,-6.368917,1.835542,63.987122,-26.607349,-19.855835,9.736829,0.656492
-22.805279,159.666077,-6.409241,11.308268,85.270401,-12.546966,-43.863125,77.615105,-13.765141,-18.981047,103.034195,-6.394147,1.790499,64.024002,-26.535582,-19.810432,9.732449,0.654322
-22.772886,159.583832,-6.443182,11.399437,85.087601,-12.374756,-43.864346,77.585434,-13.849114,-18.9016,102.996223,-6.393692,1.728542,64.013412,-26.416111,-19.762815,9.728119,0.637909
-22.738934,159.507996,-6.476277,11.507919,84.882561,-12.171463,-43.866211,77.564651,-13.936,-18.831266,102.98101,-6.417258,1.687108,63.962749,-26.261898,-19.722269,9.70831,0.627364
-22.701069,159.446915,-6.504143,11.633583,84.693474,-11.971906,-43.888889,77.57515,-14.037512,-18.787743,102.916046,-6.44194,1.634094,63.897018,-26.08638,-19.692867,9.695768,0.608232
-22.670052,159.399506,-6.527139,11.770328,84.524307,-11.75062,-43.912849,77.563354,-14.13063,-18.747576,102.90477,-6.474841,1.565265,63.837055,-25.926819,-19.664354,9.691633,0.588817
-22.617805,159.370636,-6.536207,11.901387,84.354538,-11.541854,-43.909691,77.541817,-14.189586,-18.680222,102.885567,-6.475162,1.537495,63.745365,-25.760462,-19.636658,9.707163,0.589759
-22.570644,159.346558,-6.560974,12.066085,84.238014,-11.29661,-43.898407,77.543228,-14.235964,-18.646658,102.875679,-6.504153,1.502798,63.582779,-25.656214,-19.617167,9.697516,0.577753
-22.515017,159.341919,-6.5688,12.187126,84.099197,-11.081225,-43.879276,77.544586,-14.28239,-18.616671,102.836006,-6.511502,1.496252,63.381203,-25.621021,-19.63537,9.699094,0.598116
-22.471035,159.340668,-6.582669,12.316083,84.014595,-10.836981,-43.85759,77.546013,-14.310701,-18.599665,102.81778,-6.528992,1.558836,63.102413,-25.634199,-19.661356,9.7007,0.620035
-22.418007,159.339798,-6.593157,12.411055,83.92308,-10.632295,-43.82637,77.551437,-14.344295,-18.582373,102.747292,-6.548254,1.668146,62.812023,-25.683605,-19.70812,9.702047,0.623827
-22.366693,159.347946,-6.60568,12.52035,83.893494,-10.408614,-43.786762,77.560585,-14.348142,-18.616549,102.735153,-6.597867,1.872904,62.461201,-25.768297,-19.724419,9.701938,0.623147
-22.313374,159.365784,-6.617607,12.588462,83.845634,-10.224469,-43.759121,77.586433,-14.376467,-18.597282,102.678284,-6.605935,2.057138,62.006271,-25.865713,-19.742025,9.697182,0.622521
-22.268162,159.388931,-6.634086,12.632017,83.811707,-10.0527,-43.736362,77.607544,-14.387713,-18.598221,102.645538,-6.602647,2.278169,61.352856,-25.936544,-19.751274,9.713573,0.621689
-22.212305,159.417419,-6.640789,12.669419,83.805527,-9.900877,-43.725407,77.649452,-14.412044,-18.583048,102.607117,-6.611889,2.545174,60.566856,-26.030163,-19.747059,9.70212,0.620618
-22.168093,159.447433,-6.642653,12.711514,83.809395,-9.760542,-43.716389,77.679504,-14.423818,-18.53557,102.591957,-6.609777,2.789315,59.66769,-26.138285,-19.75729,9.70761,0.633267
-22.117592,159.476669,-6.64391,12.748294,83.838188,-9.645638,-43.698471,77.693214,-14.408893,-18.489483,102.572319,-6.599682,3.137737,58.666595,-26.219866,-19.758642,9.706218,0.62822
-22.067749,159.507675,-6.644949,12.78199,83.875732,-9.558784,-43.683544,77.737114,-14.402937,-18.424332,102.553627,-6.590649,3.478744,57.437065,-26.261995,-19.754271,9.706484,0.626523
-22.01368,159.537354,-6.631504,12.839758,83.945358,-9.49514,-43.662689,77.78363,-14.394333,-18.366417,102.5056,-6.573714,3.830683,56.064743,-26.27277,-19.746954,9.707091,0.625262
-21.958927,159.56694,-6.621076,12.904943,84.022789,-9.459739,-43.624699,77.832718,-14.373187,-18.294027,102.484352,-6.559004,4.161332,54.630512,-26.218922,-19.7339,9.707176,0.624269
-21.897295,159.599152,-6.596511,12.995981,84.130394,-9.452297,-43.597488,77.919907,-14.389784,-18.215082,102.427711,-6.551744,4.473901,53.002705,-26.214802,-19.724211,9.701439,0.623377
-21.833797,159.627884,-6.565533,13.098277,84.241936,-9.453892,-43.531361,77.971481,-14.357382,-18.148331,102.374428,-6.587507,4.849984,51.22369,-26.037876,-19.721952,9.698431,0.622418
-21.766823,159.661697,-6.523169,13.212768,84.36483,-9.467159,-43.458015,78.033279,-14.324388,-18.041735,102.314011,-6.581661,5.237772,49.370243,-25.838484,-19.720398,9.69649,0.621227
