head_x,head_y,head_z,r_controller_x,r_controller_x,r_controller_x,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-22.122561,165.866791,6.572191,-14.125508,-14.125508,-14.125508,-45.759029,85.270439,26.648056,-30.864363,101.569763,5.189489,-30.682009,14.771195,-9.423765,-17.80348,11.935857,24.029779
-22.84214,165.843155,6.377244,-15.458301,-15.458301,-15.458301,-45.947403,85.271172,27.065037,-31.502455,101.599342,5.26365,-34.441441,14.77735,-10.080783,-17.900896,11.949455,24.027061
-23.541222,165.817764,6.188517,-16.83197,-16.83197,-16.83197,-46.071732,85.247917,27.471823,-32.226818,101.69873,5.212616,-38.047661,14.906007,-10.531477,-17.979445,11.958235,24.024282
-24.275793,165.794525,5.968029,-18.23987,-18.23987,-18.23987,-46.152847,85.204529,27.855669,-32.787998,101.601044,5.350284,-41.653549,15.050938,-10.795814,-18.067163,11.967661,24.021358
-25.000853,165.782257,5.747073,-19.709259,-19.709259,-19.709259,-46.179855,85.150574,28.199682,-33.516216,101.666672,5.268275,-45.019608,15.351277,-10.874116,-18.144852,11.974436,24.01335
-25.744429,165.77124,5.504061,-21.220972,-21.220972,-21.220972,-46.150723,85.064186,28.524906,-34.085178,101.594963,5.396799,-48.161335,15.837999,-10.74133,-18.232016,11.979622,23.988522
-26.472719,165.761078,5.266334,-22.811525,-22.811525,-22.811525,-46.086945,84.961624,28.836182,-34.861225,101.69622,5.263699,-50.928894,16.420589,-10.47991,-18.289225,11.997554,23.915962
-27.2234,165.744598,4.99818,-24.451944,-24.451944,-24.451944,-45.978695,84.831573,29.121958,-35.520638,101.661667,5.253698,-53.596146,17.044266,-10.254537,-18.353991,12.008388,23.87009
-27.967043,165.731049,4.725066,-26.208477,-26.208477,-26.208477,-45.847744,84.696648,29.383919,-36.310936,101.735703,5.122757,-55.572414,16.906694,-9.648358,-18.416626,12.042651,23.789423
-28.730444,165.716965,4.427877,-28.03248,-28.03248,-28.03248,-45.672523,84.516266,29.62702,-37.021416,101.665405,5.107109,-57.634579,17.320778,-9.325302,-18.501699,12.021378,23.716076
-29.484592,165.716415,4.1209,-29.961277,-29.961277,-29.961277,-45.465706,84.31855,29.854221,-37.839275,101.698997,4.970329,-59.226372,17.534687,-8.926368,-18.525322,11.996843,23.653275
-30.252218,165.716049,3.797929,-31.967327,-31.967327,-31.967327,-45.231018,84.111008,30.048193,-38.550812,101.55822,4.949045,-60.576317,17.688076,-8.587529,-18.597416,11.987296,23.58297
-31.018505,165.715698,3.47005,-34.139282,-34.139282,-34.139282,-44.988789,83.901009,30.208128,-39.415928,101.549377,4.76691,-61.497852,17.622341,-8.21736,-18.660276,11.980378,23.530281
-31.80757,165.715179,3.113034,-36.318192,-36.318192,-36.318192,-44.714691,83.685257,30.323589,-40.201378,101.41864,4.71121,-62.143883,17.37394,-7.737624,-18.723434,11.978062,23.454397
-32.60038,165.714279,2.749196,-38.593288,-38.593288,-38.593288,-44.453262,83.463478,30.433149,-41.117428,101.41713,4.4787,-62.338921,16.947548,-7.254892,-18.78285,11.961063,23.392967
-33.417328,165.711945,2.35247,-40.890835,-40.890835,-40.890835,-44.188534,83.244972,30.481079,-41.971233,101.314095,4.320117,-62.492363,16.513977,-6.869502,-18.866276,11.95804,23.323503
-34.245876,165.706299,1.940814,-43.280472,-43.280472,-43.280472,-43.952412,83.051292,30.51228,-42.959007,101.344582,4.022779,-62.898705,16.331711,-6.693606,-18.932745,11.958386,23.215322
-35.103657,165.72998,1.501033,-45.685192,-45.685192,-45.685192,-43.710014,82.875328,30.499725,-43.907127,101.316788,3.794483,-63.263298,16.05094,-6.674038,-19.044889,11.959081,23.110611
-35.983433,165.798309,1.063288,-48.186806,-48.186806,-48.186806,-43.481663,82.737411,30.4645,-44.896317,101.414108,3.489687,-63.369732,16.213243,-6.602987,-19.164299,11.960647,23.010464
-36.910568,165.91684,0.588266,-50.663853,-50.663853,-50.663853,-43.253963,82.6605,30.392765,-45.87392,101.529449,3.204235,-63.35181,16.211475,-6.596841,-19.327051,11.978607,22.874922
-37.873222,166.072067,0.115041,-53.165718,-53.165718,-53.165718,-43.033031,82.66626,30.297731,-46.839256,101.820824,2.840823,-63.503216,16.245079,-6.673293,-19.505217,11.997402,22.694927
-38.851074,166.231003,-0.361592,-55.548676,-55.548676,-55.548676,-42.792713,82.733856,30.172466,-47.804325,102.12056,2.533047,-63.524143,16.292892,-6.741883,-19.745035,12.027216,22.53223
-39.828209,166.386444,-0.824045,-57.918362,-57.918362,-57.918362,-42.537807,82.829933,29.989864,-48.75349,102.518852,2.170011,-63.643246,16.355154,-6.827638,-20.011189,12.075518,22.31028
-40.804882,166.528168,-1.278243,-60.203907,-60.203907,-60.203907,-42.291164,82.95475,29.734579,-49.70018,102.833427,1.905832,-63.635021,16.388376,-6.819731,-20.347441,12.141956,22.125519
-41.765987,166.652832,-1.699682,-62.472942,-62.472942,-62.472942,-42.053429,83.075256,29.388002,-50.615814,103.144753,1.621106,-63.709801,16.452438,-6.86525,-20.705021,12.211581,21.937025
-42.716305,166.766174,-2.094743,-64.685852,-64.685852,-64.685852,-41.848827,83.218422,28.948706,-51.491035,103.369545,1.472623,-63.721138,16.479771,-6.83153,-21.123545,12.342212,21.738482
-43.642101,166.866898,-2.445903,-66.844688,-66.844688,-66.844688,-41.686302,83.360252,28.414627,-52.344906,103.587494,1.298496,-63.789886,16.553852,-6.883688,-21.587761,12.526139,21.514103
-44.549793,166.958588,-2.754444,-68.907982,-68.907982,-68.907982,-41.569092,83.519691,27.816641,-53.113644,103.725166,1.263699,-63.837326,16.602835,-6.880067,-22.106966,12.810096,21.300627
-45.428413,167.034912,-3.006135,-70.882187,-70.882187,-70.882187,-41.494045,83.639549,27.211487,-53.862492,103.91581,1.167728,-63.885571,16.69478,-6.951754,-22.684734,13.164765,21.079569
-46.286648,167.106995,-3.216856,-72.748924,-72.748924,-72.748924,-41.451241,83.776344,26.601748,-54.59565,104.044701,1.221759,-63.931137,16.727364,-6.947977,-23.368774,13.691453,20.82692
-47.10833,167.165939,-3.358859,-74.509071,-74.509071,-74.509071,-41.469353,83.884155,26.032185,-55.233208,104.215004,1.188487,-63.975651,16.828751,-7.031908,-24.188192,14.273607,20.569061
-47.899708,167.2323,-3.466163,-76.135094,-76.135094,-76.135094,-41.508198,83.979004,25.511488,-55.864922,104.330597,1.252638,-63.992676,16.785391,-6.981757,-25.071882,14.922914,20.289633
-48.649849,167.300385,-3.503238,-77.662903,-77.662903,-77.662903,-41.575207,84.037415,25.071661,-56.423664,104.472115,1.26127,-64.045845,16.877176,-7.059811,-26.056734,15.598894,19.965757
-49.382801,167.400269,-3.500999,-79.050072,-79.050072,-79.050072,-41.672264,84.112518,24.706331,-57.015724,104.634697,1.333004,-64.155106,16.978676,-7.096457,-27.415768,16.324394,19.742159
-50.069519,167.506165,-3.438954,-80.346077,-80.346077,-80.346077,-41.764965,84.170631,24.375874,-57.515156,104.804581,1.375867,-63.631142,15.162402,-6.214792,-29.094864,16.607761,19.473505
-50.71246,167.62381,-3.343232,-81.48645,-81.48645,-81.48645,-41.841061,84.239136,24.09469,-57.996086,104.954727,1.544037,-63.629906,14.998381,-6.171254,-30.697721,16.973503,19.47558
-51.308636,167.741806,-3.187279,-82.572678,-82.572678,-82.572678,-41.867577,84.285065,23.808409,-58.465061,105.240417,1.622674,-63.456062,14.397893,-5.897955,-32.367664,17.084795,19.352285
-51.867332,167.877808,-3.00614,-83.502563,-83.502563,-83.502563,-41.876171,84.363335,23.507137,-58.928024,105.45594,1.878819,-63.509018,14.352269,-5.928266,-34.157211,17.230324,19.240494
-52.375854,168.018204,-2.787018,-84.345764,-84.345764,-84.345764,-41.867104,84.45903,23.15691,-58.921215,105.062897,2.715426,-63.555775,14.365911,-5.925319,-36.318256,16.972153,19.13596
-52.827507,168.164581,-2.539449,-85.118263,-85.118263,-85.118263,-41.829315,84.553055,22.761442,-59.30904,105.301201,2.962556,-63.562843,14.356347,-5.951736,-38.298641,16.867046,19.045971
-53.230888,168.301117,-2.249722,-85.770432,-85.770432,-85.770432,-41.743401,84.60878,22.369087,-59.462708,105.186028,3.631409,-63.583344,14.343844,-5.94358,-40.451874,16.595118,18.906752
-53.605362,168.454758,-1.93139,-86.398499,-86.398499,-86.398499,-41.645271,84.652855,21.946356,-59.76453,105.246002,4.044244,-63.59901,14.328933,-5.961047,-42.618282,16.40835,18.932049
-53.938244,168.604401,-1.604862,-86.892372,-86.892372,-86.892372,-41.518761,84.676186,21.538059,-60.066166,105.370003,4.392349,-63.630653,14.392632,-5.997157,-45.308132,15.789453,18.981396
-54.218792,168.739075,-1.233643,-87.34668,-87.34668,-87.34668,-41.37006,84.644539,21.143299,-60.321198,105.387108,4.787137,-63.65258,14.378599,-6.020008,-47.499382,15.636464,19.339876
-54.461422,168.852341,-0.831943,-87.776558,-87.776558,-87.776558,-41.181263,84.579193,20.782366,-60.560638,105.425888,5.178101,-63.657097,14.362641,-6.035151,-49.405708,15.780802,20.000639
-54.676052,168.962662,-0.402999,-88.037529,-88.037529,-88.037529,-41.000092,84.466354,20.454191,-60.758106,105.377647,5.575598,-63.676785,14.343551,-6.060415,-50.573784,16.694878,21.119513
-54.874676,169.063141,0.034388,-88.243156,-88.243156,-88.243156,-40.785442,84.339478,20.169077,-60.962059,105.369942,5.974589,-63.691006,14.368352,-6.091436,-52.400734,16.756718,22.138783
-55.047691,169.144882,0.524865,-88.338608,-88.338608,-88.338608,-40.595245,84.168137,19.926565,-61.168243,105.292931,6.416353,-63.700455,14.365703,-6.10062,-54.113503,16.907898,23.426331
-55.195408,169.197281,1.039018,-88.416466,-88.416466,-88.416466,-40.381618,83.993851,19.733919,-61.360897,105.264153,6.788389,-63.698658,14.36156,-6.103427,-55.606071,17.008236,24.830595
-55.340328,169.225983,1.586584,-88.42215,-88.42215,-88.42215,-40.203888,83.795547,19.569506,-61.551018,105.175682,7.173794,-63.696793,14.358741,-6.090449,-57.020386,17.258442,26.317217
-55.456997,169.229446,2.164253,-88.413353,-88.413353,-88.413353,-39.971714,83.611191,19.443127,-61.726292,105.110931,7.598982,-63.694756,14.359429,-6.079968,-58.234169,17.409719,27.894419
-55.571892,169.229965,2.767369,-88.362175,-88.362175,-88.362175,-39.804146,83.384163,19.320911,-61.881618,105.027328,7.976895,-63.692585,14.342184,-6.074646,-59.41433,17.74782,29.410751
-55.672642,169.227493,3.385366,-88.308273,-88.308273,-88.308273,-39.611366,83.190674,19.226791,-62.039238,104.976234,8.404378,-63.68837,14.341889,-6.078628,-60.451862,17.916082,30.930109
-55.769287,169.223801,4.04862,-88.231285,-88.231285,-88.231285,-39.490971,82.967636,19.147205,-62.215298,104.913971,8.848576,-63.713882,14.340176,-6.060823,-61.337807,18.315321,32.265652
-55.835762,169.208145,4.746106,-88.133881,-88.133881,-88.133881,-39.349892,82.778458,19.115744,-62.38438,104.894714,9.371728,-63.714943,14.335302,-6.054073,-62.228172,18.513651,33.705612
-55.89286,169.195816,5.466265,-87.997192,-87.997192,-87.997192,-39.287712,82.555504,19.094603,-62.561981,104.835411,9.900427,-63.715336,14.342664,-6.032178,-62.978218,18.898273,34.997288
-55.926315,169.185608,6.200647,-87.836433,-87.836433,-87.836433,-39.205627,82.365265,19.136148,-62.74519,104.864525,10.45523,-63.715359,14.3552,-6.02036,-63.543659,19.148926,36.183731
-55.931919,169.172745,6.962627,-87.644325,-87.644325,-87.644325,-39.212994,82.12365,19.214165,-62.918213,104.80722,11.041244,-63.715309,14.356454,-6.014778,-64.10141,19.543507,37.38369
-55.907639,169.142868,7.754316,-87.412079,-87.412079,-87.412079,-39.185997,81.898018,19.421423,-63.085781,104.777718,11.698121,-63.715485,14.336427,-5.999234,-64.312698,19.621975,38.371479
-55.862816,169.111481,8.555304,-87.153366,-87.153366,-87.153366,-39.252022,81.626587,19.709723,-63.259251,104.678925,12.335357,-63.715992,14.32505,-5.991804,-64.4701,19.672237,39.342251
-55.793266,169.068527,9.390454,-86.885307,-86.885307,-86.885307,-39.31406,81.408722,20.170826,-63.458244,104.637466,13.051162,-63.716454,14.321883,-5.977419,-64.418358,19.557257,40.093826
-55.703964,169.03392,10.233787,-86.573723,-86.573723,-86.573723,-39.43655,81.129578,20.73687,-63.628185,104.503212,13.748512,-63.717052,14.318735,-5.974017,-64.209969,19.364471,40.833851
